,from_id,to_id,travel_time
0,100,arts_quad,16.0
1,100,eng_quad,18.0
2,100,ag_quad,21.0
3,103,arts_quad,16.0
4,103,eng_quad,18.0
5,103,ag_quad,23.0
6,105,arts_quad,15.0
7,105,eng_quad,17.0
8,105,ag_quad,22.0
9,107,arts_quad,19.0
10,107,eng_quad,19.0
11,107,ag_quad,23.0
12,108,arts_quad,19.0
13,108,eng_quad,20.0
14,108,ag_quad,23.0
15,110,arts_quad,21.0
16,110,eng_quad,20.0
17,110,ag_quad,24.0
18,1111,arts_quad,14.0
19,1111,eng_quad,16.0
20,1111,ag_quad,21.0
21,1113,arts_quad,12.0
22,1113,eng_quad,15.0
23,1113,ag_quad,20.0
24,1119,arts_quad,16.0
25,1119,eng_quad,18.0
26,1119,ag_quad,23.0
27,112,arts_quad,21.0
28,112,eng_quad,20.0
29,112,ag_quad,23.0
30,1120,arts_quad,16.0
31,1120,eng_quad,18.0
32,1120,ag_quad,23.0
33,1121,arts_quad,20.0
34,1121,eng_quad,22.0
35,1121,ag_quad,27.0
36,1122,arts_quad,19.0
37,1122,eng_quad,21.0
38,1122,ag_quad,26.0
39,1123,arts_quad,20.0
40,1123,eng_quad,22.0
41,1123,ag_quad,27.0
42,1124,arts_quad,20.0
43,1124,eng_quad,22.0
44,1124,ag_quad,27.0
45,1125,arts_quad,25.0
46,1125,eng_quad,29.0
47,1125,ag_quad,34.0
48,1126,arts_quad,25.0
49,1126,eng_quad,29.0
50,1126,ag_quad,34.0
51,1129,arts_quad,36.0
52,1129,eng_quad,40.0
53,1129,ag_quad,43.0
54,113,arts_quad,21.0
55,113,eng_quad,21.0
56,113,ag_quad,25.0
57,1130,arts_quad,36.0
58,1130,eng_quad,40.0
59,1130,ag_quad,43.0
60,1137,arts_quad,41.0
61,1137,eng_quad,43.0
62,1137,ag_quad,47.0
63,1138,arts_quad,41.0
64,1138,eng_quad,43.0
65,1138,ag_quad,47.0
66,1143,arts_quad,43.0
67,1143,eng_quad,45.0
68,1143,ag_quad,50.0
69,115,arts_quad,22.0
70,115,eng_quad,20.0
71,115,ag_quad,24.0
72,117,arts_quad,27.0
73,117,eng_quad,27.0
74,117,ag_quad,32.0
75,127,arts_quad,26.0
76,127,eng_quad,25.0
77,127,ag_quad,30.0
78,128,arts_quad,25.0
79,128,eng_quad,24.0
80,128,ag_quad,29.0
81,1301,arts_quad,16.0
82,1301,eng_quad,26.0
83,1301,ag_quad,25.0
84,1307,arts_quad,12.0
85,1307,eng_quad,19.0
86,1307,ag_quad,22.0
87,1309,arts_quad,10.0
88,1309,eng_quad,17.0
89,1309,ag_quad,19.0
90,1310,arts_quad,10.0
91,1310,eng_quad,17.0
92,1310,ag_quad,19.0
93,1311,arts_quad,11.0
94,1311,eng_quad,17.0
95,1311,ag_quad,19.0
96,1314,arts_quad,16.0
97,1314,eng_quad,21.0
98,1314,ag_quad,22.0
99,1315,arts_quad,16.0
100,1315,eng_quad,21.0
101,1315,ag_quad,22.0
102,1316,arts_quad,20.0
103,1316,eng_quad,28.0
104,1316,ag_quad,26.0
105,1317,arts_quad,23.0
106,1317,eng_quad,30.0
107,1317,ag_quad,30.0
108,1323,arts_quad,10.0
109,1323,eng_quad,14.0
110,1323,ag_quad,12.0
111,1325,arts_quad,9.0
112,1325,eng_quad,14.0
113,1325,ag_quad,11.0
114,1326,arts_quad,7.0
115,1326,eng_quad,12.0
116,1326,ag_quad,11.0
117,1327,arts_quad,9.0
118,1327,eng_quad,14.0
119,1327,ag_quad,10.0
120,1328,arts_quad,11.0
121,1328,eng_quad,14.0
122,1328,ag_quad,11.0
123,1329,arts_quad,11.0
124,1329,eng_quad,15.0
125,1329,ag_quad,13.0
126,133,arts_quad,21.0
127,133,eng_quad,19.0
128,133,ag_quad,23.0
129,1330,arts_quad,11.0
130,1330,eng_quad,15.0
131,1330,ag_quad,14.0
132,1331,arts_quad,12.0
133,1331,eng_quad,17.0
134,1331,ag_quad,16.0
135,1332,arts_quad,12.0
136,1332,eng_quad,17.0
137,1332,ag_quad,16.0
138,134,arts_quad,22.0
139,134,eng_quad,19.0
140,134,ag_quad,23.0
141,1342,arts_quad,13.0
142,1342,eng_quad,16.0
143,1342,ag_quad,18.0
144,1343,arts_quad,12.0
145,1343,eng_quad,16.0
146,1343,ag_quad,18.0
147,1344,arts_quad,13.0
148,1344,eng_quad,16.0
149,1344,ag_quad,18.0
150,1345,arts_quad,12.0
151,1345,eng_quad,16.0
152,1345,ag_quad,18.0
153,1346,arts_quad,13.0
154,1346,eng_quad,16.0
155,1346,ag_quad,18.0
156,1347,arts_quad,12.0
157,1347,eng_quad,16.0
158,1347,ag_quad,18.0
159,1348,arts_quad,12.0
160,1348,eng_quad,16.0
161,1348,ag_quad,18.0
162,1349,arts_quad,13.0
163,1349,eng_quad,17.0
164,1349,ag_quad,18.0
165,135,arts_quad,24.0
166,135,eng_quad,21.0
167,135,ag_quad,25.0
168,1353,arts_quad,14.0
169,1353,eng_quad,18.0
170,1353,ag_quad,21.0
171,1355,arts_quad,15.0
172,1355,eng_quad,17.0
173,1355,ag_quad,18.0
174,1356,arts_quad,14.0
175,1356,eng_quad,16.0
176,1356,ag_quad,18.0
177,1357,arts_quad,14.0
178,1357,eng_quad,16.0
179,1357,ag_quad,17.0
180,1358,arts_quad,14.0
181,1358,eng_quad,16.0
182,1358,ag_quad,18.0
183,1360,arts_quad,15.0
184,1360,eng_quad,17.0
185,1360,ag_quad,22.0
186,1361,arts_quad,15.0
187,1361,eng_quad,17.0
188,1361,ag_quad,22.0
189,1362,arts_quad,22.0
190,1362,eng_quad,27.0
191,1362,ag_quad,26.0
192,1363,arts_quad,19.0
193,1363,eng_quad,21.0
194,1363,ag_quad,25.0
195,1367,arts_quad,29.0
196,1367,eng_quad,31.0
197,1367,ag_quad,30.0
198,1368,arts_quad,29.0
199,1368,eng_quad,31.0
200,1368,ag_quad,31.0
201,1371,arts_quad,29.0
202,1371,eng_quad,31.0
203,1371,ag_quad,36.0
204,1372,arts_quad,29.0
205,1372,eng_quad,31.0
206,1372,ag_quad,36.0
207,1373,arts_quad,29.0
208,1373,eng_quad,31.0
209,1373,ag_quad,36.0
210,1375,arts_quad,29.0
211,1375,eng_quad,31.0
212,1375,ag_quad,35.0
213,1376,arts_quad,29.0
214,1376,eng_quad,31.0
215,1376,ag_quad,36.0
216,1377,arts_quad,32.0
217,1377,eng_quad,34.0
218,1377,ag_quad,38.0
219,1378,arts_quad,32.0
220,1378,eng_quad,34.0
221,1378,ag_quad,39.0
222,1508,arts_quad,9.0
223,1508,eng_quad,16.0
224,1508,ag_quad,19.0
225,1511,arts_quad,7.0
226,1511,eng_quad,14.0
227,1511,ag_quad,16.0
228,1512,arts_quad,6.0
229,1512,eng_quad,10.0
230,1512,ag_quad,15.0
231,1513,arts_quad,6.0
232,1513,eng_quad,10.0
233,1513,ag_quad,15.0
234,1520,arts_quad,8.0
235,1520,eng_quad,11.0
236,1520,ag_quad,12.0
237,1521,arts_quad,8.0
